ID,Value,E,F,E1,F1,Column 1
Тамбовская область,50,Без даты,https://www.tambov.gov.ru/news/v-tambovskoj-oblasti-vveden-rezhim-povyshennoj-gotovnosti-v-svyazi-s-koronavirusnoj-infekciej.html,2020-03-29,публичные и иные массовые мероприятия,мероприятия с участием более одного человека
Тверская область,1,Без даты,http://publication.pravo.gov.ru/Document/View/6900202003190002,2020-03-20,,запрет не найден
Томская область,100,Без даты,https://tomsk.gov.ru/documents/front/view/id/55145,2020-03-28,массовые мероприятия,мероприятия с участием более одного человека
Тульская область,30,12 апреля,http://publication.pravo.gov.ru/Document/View/7100202003200001,2020-03-24,публичные и иные массовые мероприятия,мероприятия с участием более одного человека
Тюменская область,50,10 апреля,https://admtyumen.ru/files/%D0%9E%D1%82%D0%BE%D0%B1%D1%80%D0%B0%D0%B6%D0%B5%D0%BD%D0%B8%D0%B5%20%D0%B2%20PDF%20%D0%9F%D0%BE%D1%81%D1%82%D0%B0%D0%BD%D0%BE%D0%B2%D0%BB%D0%B5%D0%BD%D0%B8%D0%B5%20%D0%9F%D1%80%D0%B0%D0%B2%D0%B8%D1%82%D0%B5%D0%BB%D1%8C%D1%81%D1%82%D0%B2%D0%B0%20%E2%84%96120-%D0%BF%20%D0%BE%D1%82%2017.03.2020%20(39971563%20v1).pdf,2020-03-29,публичные и иные массовые мероприятия,мероприятия с участием более одного человека
Удмуртская республика,500,«До особого распоряжения»,http://www.udmurt.ru/about/info/news/?ELEMENT_ID=323882,2020-03-28,мероприятия с очным присутствием граждан.,мероприятия с участием более одного человека
Ульяновская область,0,Без даты,https://www.kommersant.ru/doc/4292691,2020-03-28,массовые мероприятия,мероприятия с участием более одного человека
Хабаровский край,50,Без даты,https://www.khabkrai.ru/events/news/177781,2020-03-28,,запрет не найден
Ханты-Мансийский автономный округ - Югра,50,Без даты,http://publication.pravo.gov.ru/Document/View/8600202003190001?index=8&rangeSize=1,2020-03-29,массовые мероприятия,мероприятия с участием более одного человека
Челябинская область,1,До особого распоряжения,https://gubernator74.ru/news/aleksey-teksler-vvel-dopolnitelnye-mery-dlya-borby-s-rasprostraneniem-koronavirusa-v,2020-03-27,публичные и иные массовые мероприятия,"с любым числом участников, упоминаются публичные мероприятия"
Чеченская республика,50,Без даты,http://chechnya.gov.ru/wp-content/uploads/documents/138-r-2.pdf,2020-03-24," спортивных, зрелищных, публичных и иных массовых мероприятий ",мероприятия с участием более одного человека
Чувашская республика,1,Без даты,http://www.cap.ru/doc/laws/2020/03/18/disposal-113-rg,2020-03-19,публичные и иные массовые мероприятия,"с любым числом участников, упоминаются публичные мероприятия"
Чукотский автономный округ,1,Без даты,https://rg.ru/2020/03/18/chukotka-rasp100-reg-dok.html,2020-03-19,,запрет не найден
Ямало-Ненецкий автономный округ,1,Без даты,https://www.yanao.ru/presscenter/photo-video/video/1365/,2020-03-24,,запрет не найден
Ярославская область,50,Без  даты,http://publication.pravo.gov.ru/File/GetFile/7600202003180002?type=pdf,2020-03-29,публичные и иные массовые мероприятия,мероприятия с участием более одного человека